PM2.5 (µg/m³),PM10 (µg/m³),NO2 (ppb),SO2 (ppb),CO (ppm),O3 (ppb),AQI
423.6182888,53.05067077,148.3110406,70.0620487,2.133055117,0.565303485,Very Unhealthy
247.2585219,8.624670082,176.220375,49.87695384,41.42523098,287.9953185,Moderate
97.73280532,440.6466185,92.63597508,110.6670676,12.46537911,160.5949806,Unhealthy
368.3208933,157.0224421,57.83574633,18.37542997,14.19686822,210.1201623,Hazardous
209.3390678,526.6069502,63.76931487,112.5376695,11.31226392,273.7791474,Unhealthy
297.3137417,321.5104066,139.3896517,24.1750538,42.00419776,129.9463797,Unhealthy
53.63264509,287.1125688,113.5116068,45.89729871,48.94509977,132.1959846,Very Unhealthy
315.7919948,463.6912635,97.2988262,49.99976811,37.75933255,50.09447128,Unhealthy
186.7752445,444.6576021,40.55481576,148.5618263,41.17889302,271.7484842,Moderate
167.0948749,422.5659194,175.0911375,88.47329771,31.02502303,194.3019918,Good
489.9577894,413.9405736,156.2040895,116.6331288,26.43874542,54.08077419,Good
216.2153214,309.2375983,28.12772035,83.30669757,36.07890024,167.9376044,Good
339.0191891,555.8853216,73.47769092,147.4736954,1.78814394,98.44918152,Moderate
313.8637678,534.3848458,108.4264187,26.60720269,3.07002628,44.15459094,Hazardous
52.15177544,197.6429649,90.86772455,90.7311194,34.36367443,54.56083422,Moderate
373.9637685,482.8167236,79.55916775,119.6073101,16.75349823,167.7771473,Good
161.5796017,534.6651083,143.7663795,94.28342141,24.44171782,169.3155678,Hazardous
399.4697746,370.9529827,10.90070085,134.5404277,39.09962818,236.9822343,Very Unhealthy
303.8203913,333.3475156,94.28206783,90.10619721,28.85789542,74.39528526,Moderate
158.545745,403.1320486,52.43633808,123.9657823,40.26309373,274.7500147,Unhealthy
178.1464802,97.83639449,16.92367705,26.36956866,20.95776211,155.5838795,Unhealthy
365.7536848,52.40620573,92.9774316,39.30958415,14.37116765,61.25180665,Unhealthy
275.0296576,492.090165,34.27373821,66.61028661,11.74184544,123.9841727,Moderate
334.1755203,343.9957363,51.64485638,127.7426568,6.584047554,277.0077816,Very Unhealthy
79.15916054,73.5008942,101.4017459,63.98390881,1.839826114,143.4469629,Hazardous
393.4883361,249.7908163,194.741796,94.11884066,2.657450784,262.4145331,Moderate
160.1956595,178.9406229,136.8510014,59.37174029,13.54994136,47.94982055,Moderate
309.9306336,525.2867725,55.92435963,120.8580584,13.92062972,274.1875196,Moderate
57.33991262,304.3321087,76.48121052,30.04313794,19.08922645,129.1856416,Hazardous
160.7101206,346.5075277,81.22663046,89.06542171,29.58086856,280.8380831,Very Unhealthy
324.4336465,141.174243,30.72752467,86.68352825,37.96497676,259.8235558,Moderate
137.1030661,479.4381286,32.13083777,60.48627378,9.885250403,197.9898921,Good
440.1560984,558.0607726,29.6789447,105.7692085,37.96240883,201.8539251,Hazardous
330.6141997,475.4966092,104.3328275,4.271491204,6.94947639,63.45239636,Very Unhealthy
435.1391966,295.7154859,134.8372173,126.2249983,49.43468103,180.8489337,Good
